"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Legal Status
1,US,A1,US 2017/0147742 A1,046-338-410-657-855,2017-05-25,2017,US 201515321739 A,2015-06-19,2014-06-27,SYSTEMS AND METHODS FOR SYNTHETIC BIOLOGY DESIGN AND HOST CELL SIMULATION,UNIV NANYANG TECH,JAYARAMAN PREMKUMAR;;POH CHUEH LOO;;WANG HUI JUAN,NANYANG TECHNOLOGICAL UNIVERSITY (2015-10-29),https://lens.org/046-338-410-657-855,DISCONTINUED
2,US,B2,US 10607716 B2,068-534-912-401-872,2020-03-31,2020,US 201615064206 A,2016-03-08,2011-06-06,Synthetic biology tools,UNIV CALIFORNIA,LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHRIS,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-08-06),https://lens.org/068-534-912-401-872,ACTIVE
3,US,A1,US 2009/0061520 A1,075-918-668-399-614,2009-03-05,2009,US 93516407 A,2007-11-05,2006-11-03,Synthetic Biology Vectors,UNIV MICHIGAN,WOOLF PETER;;NINFA ALEX;;MAYO AVRAHAM E;;SELINSKY STEVEN;;SONG QI XIU,THE REGENTS OF THE UNIVERSITY OF MICHIGAN (2008-04-23),https://lens.org/075-918-668-399-614,INACTIVE
4,WO,A2,WO 2021/035115 A2,009-086-590-277-234,2021-02-25,2021,US 2020/0047330 W,2020-08-21,2019-08-21,GROWING PROGRAMMABLE ENZYME-FUNCTIONALIZED AND SENSE-AND-RESPONSE BACTERIAL CELLULOSE LIVING MATERIALS WITH ENGINEERED MICROBIAL CO-CULTURES,MASSACHUSETTS INST TECHNOLOGY;;IMP COLLEGE LONDON,LU TIMOTHY;;TANG TZU-CHIEH;;OTT WOLFGANG;;ELLIS TOM;;GILBERT CHARLES,,https://lens.org/009-086-590-277-234,PENDING
5,US,A1,US 2021/0158197 A1,038-794-758-325-674,2021-05-27,2021,US 202017104817 A,2020-11-25,2019-11-26,BIOLOGY EXPERIMENT DESIGNS,UNIV CALIFORNIA,COSTELLO ZACHARY;;RADIVOJEVIC TIJANA;;MARTIN HECTOR GARCIA,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2020-12-03),https://lens.org/038-794-758-325-674,PENDING
6,US,A1,US 2022/0262457 A1,100-179-065-796-328,2022-08-18,2022,US 202117175495 A,2021-02-12,2021-02-12,A DEEP LEARNING APPROACH TO CORRELATE CELLULAR MORPHOLOGY AND GENETICS,IBM;;UNIV CALIFORNIA,PASTORE VITO PAOLO;;BIANCO SIMONE;;MARSHALL WALLACE,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2021-02-12);;INTERNATIONAL BUSINESS MACHINES CORPORATION (2021-01-28),https://lens.org/100-179-065-796-328,PENDING
7,CN,A,CN 103789048 A,096-227-662-025-207,2014-05-14,2014,CN 201210417898 A,2012-10-26,2012-10-26,Synthetic biology alcohol oil,LIU DAZHAO,LIU DAZHAO;;DENG ZENGWEI;;LIU CHUANMING;;LI WEI;;XIA TINGFU,,https://lens.org/096-227-662-025-207,DISCONTINUED
8,WO,A2,WO 2010/087964 A2,082-981-586-729-128,2010-08-05,2010,US 2010/0000236 W,2010-01-28,2009-01-28,"COMPOSITIONS FOR TREATMENT AND PREVENTION OF ACNE, METHODS OF MAKING THE COMPOSITIONS, AND METHODS OF USE THEREOF",NANOBIO CORP;;SUTCLIFFE JOYCE A;;CIOTTI SUSAN M;;BAKER JAMES R JR,SUTCLIFFE JOYCE A;;CIOTTI SUSAN M;;BAKER JAMES R JR,,https://lens.org/082-981-586-729-128,PENDING
9,US,A1,US 2012/0064136 A1,170-359-081-283-853,2012-03-15,2012,US 201113229080 A,2011-09-09,2010-09-10,ANTI-AGING AND WRINKLE TREATMENT METHODS USING NANOEMULSION COMPOSITIONS,BAKER JR JAMES R;;CIOTTI SUSAN M;;NANOBIO CORP,BAKER JR JAMES R;;CIOTTI SUSAN M,NANOBIO CORPORATION (2011-09-12),https://lens.org/170-359-081-283-853,DISCONTINUED
10,EP,A1,EP 3576020 A1,011-224-441-586-45X,2019-12-04,2019,EP 18204072 A,2018-11-02,2018-05-30,"METHODS FOR GENERATING SYNTHETIC TRAINING DATA AND FOR TRAINING DEEP LEARNING ALGORITHMS FOR TUMOR LESION CHARACTERIZATION, METHOD AND SYSTEM FOR TUMOR LESION CHARACTERIZATION, COMPUTER PROGRAM AND ELECTRONICALLY READABLE STORAGE MEDIUM",SIEMENS HEALTHCARE GMBH,KATZMANN ALEXANDER;;KRATZKE LISA;;MÜHLBERG ALEXANDER;;SÜHLING MICHAEL,,https://lens.org/011-224-441-586-45X,PENDING
11,WO,A2,WO 2021/194580 A2,148-597-774-037-969,2021-09-30,2021,US 2020/0064695 W,2020-12-11,2019-12-13,RIBOREGULATORS AND METHODS OF USE THEREOF,HARVARD COLLEGE;;MASSACHUSETTS INST TECHNOLOGY,SOENKSEN MARTINEZ LUIS;;ANGENENT-MARI NICOLAAS;;GARRUSS ALEXANDER;;COLLINS JAMES;;CHURCH GEORGE;;COLLINS KATHERINE;;CAMACHO DIOGO,,https://lens.org/148-597-774-037-969,PENDING
12,US,B2,US 10526392 B2,143-443-868-500-041,2020-01-07,2020,US 201515110057 A,2015-01-08,2014-01-08,Synthetic biology-based ADCC technology,1GLOBE BIOMEDICAL CO LTD,LI CHIANG J;;UNNIRAMAN SHYAM,1GLOBE HEALTH INSTITUTE LLC (2016-07-08);;1GLOBE BIOMEDICAL CO. LTD (2018-06-19),https://lens.org/143-443-868-500-041,ACTIVE
13,US,A1,US 2012/0258487 A1,193-463-702-407-594,2012-10-11,2012,US 201213437727 A,2012-04-02,2011-04-01,MICROFLUIDIC PLATFORM FOR SYNTHETIC BIOLOGY APPLICATIONS,CHANG CHIEH;;BHARADWAJ RAJIV;;SINGH ANUP K;;CHANDRASEKARAN AARTHI;;HILLSON NATHAN J;;UNIV CALIFORNIA;;SANDIA CORP,CHANG CHIEH;;BHARADWAJ RAJIV;;SINGH ANUP K;;CHANDRASEKARAN AARTHI;;HILLSON NATHAN J,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-04-11);;SANDIA CORPORATION (2012-04-12),https://lens.org/193-463-702-407-594,ACTIVE
14,WO,A1,WO 2022/160049 A1,199-995-139-753-003,2022-08-04,2022,CA 2022050113 W,2022-01-27,2021-01-27,PROTECTION OF LINEAR DEOXYRIBONUCLEIC ACID FROM EXONUCLEOLYTIC DEGRADATION,GOVERNING COUNCIL UNIV TORONTO,PARDEE KEITH;;NOROUZI MASOUD,,https://lens.org/199-995-139-753-003,PENDING
15,WO,A1,WO 2004/089387 A1,102-936-895-145-020,2004-10-21,2004,BR 2004000043 W,2004-03-29,2003-04-09,"USE OF THE EXTRACTION PROCESS TO OBTAIN EXTRACT, SAP, TINCTURE, PULP AND BY-PRODUCTS FROM ""DICKSONIA SELLOWIANA"" - PRESL - HOOKER 1844 , FOR USING AT THE HUMAN, INDUSTRIAL AND PHARMACOLOGICAL CHEMISTRY, HUMAN AND ANIMAL, MEDICINAL, PHYTOMEDICINAL, NUTRICEUTRIC.",FERREIRA ELZO,FERREIRA ELZO,,https://lens.org/102-936-895-145-020,PENDING
16,US,A1,US 2010/0285082 A1,197-182-600-419-222,2010-11-11,2010,US 23902608 A,2008-10-24,2003-08-22,Integrated Biosensor and Simulation System for Diagnosis and Therapy,FERNANDEZ DENNIS S,FERNANDEZ DENNIS S,,https://lens.org/197-182-600-419-222,ACTIVE
17,EP,A1,EP 3625347 A1,059-677-685-981-003,2020-03-25,2020,EP 18722637 A,2018-05-15,2017-05-18,INDUCIBLE PROMOTER FOR GENE EXPRESSION AND SYNTHETIC BIOLOGY,AGRONOMIQUE INST NAT RECH;;UNIV LIBRE DE BRUXELLES ULB;;UNIV LIEGE,NICAUD JEAN-MARC;;TRASSAERT MARION;;THOMAS STÉPHANE;;FICKERS PATRICK;;VANDERMIES MARIE;;CARLY FRÉDÉRIC,"UNIVERSITE LIBRE DE BRUXELLES (ULB) (2020-06-10);;INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT (2020-06-10);;UNIVERSITE DE LIEGE (2020-06-10)",https://lens.org/059-677-685-981-003,ACTIVE
18,EP,A2,EP 1948803 A2,193-561-840-789-374,2008-07-30,2008,EP 06849438 A,2006-10-12,2005-10-13,MODULAR GENOMES FOR SYNTHETIC BIOLOGY AND METABOLIC ENGINEERING,BC CANCER AGENCY,HOLT ROBERT A,,https://lens.org/193-561-840-789-374,DISCONTINUED
19,US,A1,US 2013/0230555 A1,186-819-042-248-014,2013-09-05,2013,US 201313780805 A,2013-02-28,2012-02-28,SYNTHETIC LIPID BIOLOGY FOR COMBINATORIAL ENGINEERING OF ENDOTOXIN,UNIV TEXAS,TRENT M STEPHEN;;NEEDHAM BRITTANY;;GILES DAVID;;WHITELEY MARVIN,THE BOARD OF REGENTS OF THE UNIVERSITY OF TEXAS SYSTEM (2013-04-26),https://lens.org/186-819-042-248-014,ACTIVE
20,CN,B,CN 103044666 B,153-490-455-912-093,2014-07-02,2014,CN 201210548995 A,2012-12-17,2012-12-17,Synthetic method of urushiol biology base resin,ALL CHINA FEDERATION OF SUPPLY AND MARKETING COOPERATIVES XI AN INST OF RAW LACQUER,ZHANG FEILONG;;LI DONGXU,,https://lens.org/153-490-455-912-093,INACTIVE
21,US,A1,US 2022/0235353 A1,097-481-175-614-485,2022-07-28,2022,US 202217584271 A,2022-01-25,2021-01-26,PROTECTIVE ELEMENTS FOR NUCLEIC ACID SYNTHETIC BIOLOGY,CALIFORNIA INST OF TECHN,HOCHREIN LISA;;LI HEYUN;;MUN EVAN;;ROTHEMUND PAUL W;;PIERCE NILES A,,https://lens.org/097-481-175-614-485,PENDING
22,US,A1,US 2008/0286871 A1,060-661-129-601-531,2008-11-20,2008,US 98684307 A,2007-11-27,2006-10-12,Modular genomes for synthetic biology and metabolic engineering,HOLT ROBERT A,HOLT ROBERT A,BC CANCER AGENCY (2007-11-23),https://lens.org/060-661-129-601-531,DISCONTINUED
23,CN,A,CN 105787290 A,182-642-524-832-727,2016-07-20,2016,CN 201610077123 A,2016-01-30,2016-01-30,Synthetic biology data processing method and processing method thereof,UNIV SHAANXI NORMAL,SHI PEI;;LI PANPAN;;LYU QI;;WU TAO;;DONG YAFEI,,https://lens.org/182-642-524-832-727,INACTIVE
24,WO,A1,WO 2016/134121 A1,198-555-818-440-986,2016-08-25,2016,US 2016/0018428 W,2016-02-18,2015-02-20,"DIALKYL SULFOSUCCINATE COMPOSITIONS, METHOD OF MAKING, AND METHOD OF USE",CYTEC IND INC,SALY ERIC;;MACKAY MAUREEN;;RISCHER MATTHIAS;;MOHR WOLFGANG;;KURZ LENA,,https://lens.org/198-555-818-440-986,PENDING
25,WO,A1,WO 2022/076972 A1,143-676-199-148-446,2022-04-14,2022,US 2021/0071691 W,2021-10-04,2020-10-09,SYSTEMS AND METHODS FOR FILLING MATERIAL,SPINAL ELEMENTS INC,ONO MATTHEW;;YAP MARC,,https://lens.org/143-676-199-148-446,PENDING
26,EP,A1,EP 1859811 A1,019-199-894-751-197,2007-11-28,2007,EP 06010902 A,2006-05-27,2006-05-27,Use of conjugates of amatoxins or phallotoxins with macromolecules for tumor and inflammation therapy,FAULSTICH HEINZ DR,FAULSTICH HEINZ;;FAULSTICH DORIAN;;ANDERL JAN DR;;MOLDENHAUER GERHARD DR,"FAULSTICH, HEINZ, DR. (2010-05-26);;DEUTSCHES KREBSFORSCHUNGSZENTRUM (2010-05-26)",https://lens.org/019-199-894-751-197,ACTIVE
27,EP,B1,EP 2956156 B1,161-098-344-081-075,2020-03-18,2020,EP 14705565 A,2014-02-14,2013-02-14,SCAFFOLD PROTEINS DERIVED FROM PLANT CYSTATINS,UNIV LEEDS INNOVATIONS LTD,MCPHERSON MICHAEL;;TOMLINSON DARREN,UNIVERSITY OF LEEDS (2019-11-06),https://lens.org/161-098-344-081-075,ACTIVE
28,US,A1,US 2005/0136477 A1,196-701-667-526-01X,2005-06-23,2005,US 6198405 A,2005-02-18,2003-11-17,Methods for isolating nucleic acids from biological and cellular materials,AKHAVAN-TAFTI HASHEM,AKHAVAN-TAFTI HASHEM,LUMIGEN INC (2005-02-18);;NEXGEN DIAGNOSTICS LLC (2007-06-07),https://lens.org/196-701-667-526-01X,DISCONTINUED
29,RU,A,RU 95110871 A,181-834-644-473-79X,1997-06-10,1997,RU 95110871 A,1995-05-05,1992-10-06,METHOD OF DETERMINATION OF NUCLEOTIDE SEQUENCE,KHAJBRAJDON;;INK US,SUDKHIR AGRAVAL;;DZIN JAN TANG,,https://lens.org/181-834-644-473-79X,PENDING
30,WO,A1,WO 2002/079327 A1,119-073-318-062-221,2002-10-10,2002,IN 0100082 W,2001-03-30,2001-03-30,"A NATURAL FLUORESCENT DYE OBTAINED FROM A MARINE INVERTEBRATE, COMPOSITIONS CONTAINING THE SAID DYE AND THEIR USES",COUNCIL SCIENT IND RES;;GOSWAMI USHA;;GANGULY ANUTOSH,GOSWAMI USHA;;GANGULY ANUTOSH,,https://lens.org/119-073-318-062-221,PATENTED
