"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Earliest Priority Date,Title,Applicants,Inventors,Owners,URL,Document Type,Legal Status
1,US,A1,US 2017/0147742 A1,046-338-410-657-855,2017-05-25,2017,US 201515321739 A,2015-06-19,2014-06-27,SYSTEMS AND METHODS FOR SYNTHETIC BIOLOGY DESIGN AND HOST CELL SIMULATION,UNIV NANYANG TECH,JAYARAMAN PREMKUMAR;;POH CHUEH LOO;;WANG HUI JUAN,NANYANG TECHNOLOGICAL UNIVERSITY (2015-10-29),https://lens.org/046-338-410-657-855,Patent Application,DISCONTINUED
2,WO,A1,WO 2015/199614 A1,175-744-148-844-217,2015-12-30,2015,SG 2015050169 W,2015-06-19,2014-06-27,SYSTEMS AND METHODS FOR SYNTHETIC BIOLOGY DESIGN AND HOST CELL SIMULATION,UNIV NANYANG TECH,JAYARAMAN PREMKUMAR;;POH CHUEH LOO;;WANG HUI JUAN,,https://lens.org/175-744-148-844-217,Patent Application,PENDING
3,US,B2,US 10607716 B2,068-534-912-401-872,2020-03-31,2020,US 201615064206 A,2016-03-08,2011-06-06,Synthetic biology tools,UNIV CALIFORNIA,LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHRIS,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-08-06),https://lens.org/068-534-912-401-872,Granted Patent,ACTIVE
4,US,A1,US 2013/0005590 A1,028-976-470-081-433,2013-01-03,2013,US 201213489205 A,2012-06-05,2011-06-06,SYNTHETIC BIOLOGY TOOLS,UNIV CALIFORNIA;;LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHIRS,LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHIRS,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-08-06),https://lens.org/028-976-470-081-433,Patent Application,DISCONTINUED
5,WO,A1,WO 2012/170436 A1,064-438-049-158-561,2012-12-13,2012,US 2012/0040939 W,2012-06-05,2011-06-06,SYNTHETIC BIOLOGY TOOLS,UNIV CALIFORNIA;;LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHRIS,LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHRIS,,https://lens.org/064-438-049-158-561,Patent Application,PENDING
6,US,A1,US 2021/0005279 A1,052-800-615-370-887,2021-01-07,2021,US 202016789993 A,2020-02-13,2011-06-06,SYNTHETIC BIOLOGY TOOLS,UNIV CALIFORNIA,LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TASMIR ALVIN;;TEMME KARSTEN;;VOIGT CHRIS,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-08-06),https://lens.org/052-800-615-370-887,Patent Application,PENDING
7,US,A1,US 2009/0061520 A1,075-918-668-399-614,2009-03-05,2009,US 93516407 A,2007-11-05,2006-11-03,Synthetic Biology Vectors,UNIV MICHIGAN,WOOLF PETER;;NINFA ALEX;;MAYO AVRAHAM E;;SELINSKY STEVEN;;SONG QI XIU,THE REGENTS OF THE UNIVERSITY OF MICHIGAN (2008-04-23),https://lens.org/075-918-668-399-614,Patent Application,INACTIVE
8,US,A1,US 2016/0292355 A1,004-971-860-606-641,2016-10-06,2016,US 201615064206 A,2016-03-08,2011-06-06,SYNTHETIC BIOLOGY TOOLS,UNIV CALIFORNIA,LOU CHUNBO;;MOON TAE SEOK;;RHODIUS VIRGIL;;STANTON BRYNNE;;TAMSIR ALVIN;;TEMME KARSTEN;;VOIGT CHRIS,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2012-08-06),https://lens.org/004-971-860-606-641,Patent Application,ACTIVE
9,US,B2,US 8835160 B2,006-647-369-190-648,2014-09-16,2014,US 93516407 A,2007-11-05,2006-11-03,Synthetic biology vectors,WOOLF PETER;;NINFA ALEX;;MAYO AVRAHAM E;;SELINSKY STEVEN;;SONG QI XIU;;UNIV MICHIGAN,WOOLF PETER;;NINFA ALEX;;MAYO AVRAHAM E;;SELINSKY STEVEN;;SONG QI XIU,THE REGENTS OF THE UNIVERSITY OF MICHIGAN (2008-04-23),https://lens.org/006-647-369-190-648,Granted Patent,INACTIVE
10,WO,A2,WO 2021/035115 A2,009-086-590-277-234,2021-02-25,2021,US 2020/0047330 W,2020-08-21,2019-08-21,GROWING PROGRAMMABLE ENZYME-FUNCTIONALIZED AND SENSE-AND-RESPONSE BACTERIAL CELLULOSE LIVING MATERIALS WITH ENGINEERED MICROBIAL CO-CULTURES,MASSACHUSETTS INST TECHNOLOGY;;IMP COLLEGE LONDON,LU TIMOTHY;;TANG TZU-CHIEH;;OTT WOLFGANG;;ELLIS TOM;;GILBERT CHARLES,,https://lens.org/009-086-590-277-234,Patent Application,PENDING
